,brand,title,storage,camera,battery,total_ratings,avg_rating,total_reviews,price
45,SAMSUNG,"SAMSUNG Galaxy A23 (Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,596,4.3,39,"19,990"
46,vivo,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,"20,250",4.4,"2,007","24,999"
47,vivo,"vivo T1 Pro 5G (Turbo Black, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,"20,250",4.4,"2,007","24,999"
48,SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,12MP + 12MP + 8MP Rear Camera | 32MP Front Camera,4500 mAh Lithium Ion Battery,"1,065",4,92,"27,589"
49,OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"11,131",4.4,902,"28,995"
50,OnePlus,"OnePlus 10R 5G (Prime Blue, 128 GB)",8 GB RAM | 128 GB ROM,5000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"2,401",4.3,173,"30,482"
51,vivo,"vivo Y100A (Metal Black, 256 GB)",8 GB RAM | 256 GB ROM,64MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,125,4.4,10,"25,999"
52,vivo,"vivo Y100A (Twilight Gold, 256 GB)",8 GB RAM | 256 GB ROM,64MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,125,4.4,10,"25,999"
53,vivo,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,"20,250",4.4,"1,958","24,999"
54,vivo,"vivo T1 Pro 5G (Turbo Black, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,"20,250",4.4,"1,958","24,999"
55,vivo,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",6 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,"9,314",4.4,883,"23,999"
56,vivo,"vivo Y100A (Pacific Blue, 256 GB)",8 GB RAM | 256 GB ROM,64MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,125,4.4,10,"25,999"
57,vivo,"vivo Y75 (Dancing waves, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 44MP Front Camera,4050 mAh Lithium Battery,"2,924",4.3,218,"19,990"
58,Infinix,"Infinix Zero Ultra (Genesis Noir, 256 GB)",8 GB RAM | 256 GB ROM,200MP + 13MP + 2MP | 32MP Front Camera,4500 mAh Lithium-ion Polymer Battery,"1,331",4.1,201,"29,999"
59,SAMSUNG,"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)",8 GB RAM | 128 GB ROM,12MP Rear Camera | 32MP Front Camera,4500 mAh Battery,"1,929",4.2,123,"26,648"
